Grid_No,Extinction_risk
1,0.9543
2,0.9535
3,0.9523
4,0.952
5,0.9518
6,0.9512
7,0.9509
8,0.9512
9,0.9515
10,0.9526
11,0.9527
12,0.9522
13,0.9519
14,0.9515
15,0.9537
16,0.9529
17,0.9522
18,0.9515
19,0.9517
20,0.9516
21,0.9512
22,0.951
23,0.9511
24,0.9516
25,0.9518
26,0.9516
27,0.9516
28,0.9511
29,0.9512
30,0.9516
31,0.9508
32,0.9507
33,0.9517
34,0.9513
35,0.952
36,0.9517
37,0.9511
38,0.9522
39,0.9502
40,0.9488
41,0.9484
42,0.9528
43,0.9521
44,0.9516
45,0.9516
46,0.9523
47,0.9519
48,0.9499
49,0.9508
50,0.9521
51,0.9521
52,0.952
53,0.9526
54,0.9528
55,0.9525
56,0.9524
57,0.9522
58,0.952
59,0.952
60,0.9513
61,0.9512
62,0.9515
63,0.9516
64,0.9516
65,0.9518
66,0.9521
67,0.9516
68,0.9517
69,0.9518
70,0.9509
71,0.951
72,0.9513
73,0.9521
74,0.9523
75,0.9483
76,0.9483
77,0.9485
78,0.9507
79,0.9512
80,0.9512
81,0.951
82,0.9513
83,0.9518
84,0.9518
85,0.9516
86,0.951
87,0.9511
88,0.9516
89,0.9524
90,0.9524
91,0.9516
92,0.9504
93,0.9505
94,0.9511
95,0.9506
96,0.9491
97,0.9477
98,0.9476
99,0.9558
100,0.9558
101,0.9556
102,0.9553
103,0.9548
104,0.9543
105,0.9539
106,0.953
107,0.9519
108,0.9518
109,0.9514
110,0.9517
111,0.952
112,0.9522
113,0.952
114,0.9519
115,0.9521
116,0.9517
117,0.9513
118,0.9512
119,0.9521
120,0.9522
121,0.9519
122,0.9513
123,0.9513
124,0.9513
125,0.9512
126,0.9512
127,0.9513
128,0.9514
129,0.9516
130,0.9518
131,0.9519
132,0.9518
133,0.9516
134,0.9508
135,0.9508
136,0.9507
137,0.9518
138,0.9521
139,0.9529
140,0.9526
141,0.9515
142,0.9514
143,0.9516
144,0.9513
145,0.9512
146,0.9517
147,0.9515
148,0.9512
149,0.951
150,0.951
151,0.9511
152,0.952
153,0.9517
154,0.951
155,0.951
156,0.9518
157,0.9515
158,0.9506
159,0.9508
160,0.9513
161,0.9517
162,0.9514
163,0.9511
164,0.9516
165,0.952
166,0.9525
167,0.9532
168,0.9537
169,0.9538
170,0.9544
171,0.954
172,0.9529
173,0.9513
174,0.9512
175,0.9498
176,0.9499
177,0.9478
178,0.9475
179,0.9553
180,0.955
181,0.9549
182,0.9548
183,0.9549
184,0.9548
185,0.9543
186,0.954
187,0.9537
188,0.9531
189,0.9525
190,0.9513
191,0.9508
192,0.9509
193,0.951
194,0.9513
195,0.9517
196,0.9519
197,0.9522
198,0.9517
199,0.9515
200,0.9517
201,0.9517
202,0.9514
203,0.9514
204,0.9514
205,0.9517
206,0.9513
207,0.9512
208,0.9514
209,0.9518
210,0.9508
211,0.9512
212,0.9522
213,0.9521
214,0.9517
215,0.9515
216,0.9516
217,0.952
218,0.9521
219,0.9526
220,0.9532
221,0.9531
222,0.9526
223,0.9524
224,0.9522
225,0.9526
226,0.9526
227,0.9518
228,0.9518
229,0.952
230,0.9515
231,0.951
232,0.9514
233,0.9513
234,0.9512
235,0.9515
236,0.9515
237,0.951
238,0.9517
239,0.9514
240,0.951
241,0.9512
242,0.9521
243,0.9521
244,0.9514
245,0.9503
246,0.9509
247,0.9518
248,0.9524
249,0.9531
250,0.9535
251,0.9534
252,0.9529
253,0.9527
254,0.9527
255,0.9537
256,0.9532
257,0.9521
258,0.9519
259,0.9519
260,0.9526
261,0.9528
262,0.9531
263,0.9533
264,0.9531
265,0.9531
266,0.9524
267,0.9523
268,0.9519
269,0.9501
270,0.9496
271,0.9495
272,0.9484
273,0.9478
274,0.9478
275,0.9478
276,0.9517
277,0.9519
278,0.9522
279,0.9528
280,0.9561
281,0.9555
282,0.9551
283,0.9545
284,0.9539
285,0.9537
286,0.954
287,0.9544
288,0.9542
289,0.9545
290,0.9542
291,0.9541
292,0.9539
293,0.9541
294,0.954
295,0.9538
296,0.9539
297,0.9534
298,0.9533
299,0.9529
300,0.9519
301,0.9516
302,0.9513
303,0.9518
304,0.952
305,0.9519
306,0.9515
307,0.9519
308,0.952
309,0.9519
310,0.9514
311,0.9514
312,0.9516
313,0.9516
314,0.9522
315,0.9516
316,0.9513
317,0.9505
318,0.951
319,0.9518
320,0.9517
321,0.9513
322,0.9507
323,0.9515
324,0.9517
325,0.9515
326,0.9521
327,0.9524
328,0.9527
329,0.9531
330,0.9534
331,0.9536
332,0.9541
333,0.9535
334,0.9528
335,0.9529
336,0.9537
337,0.9534
338,0.9534
339,0.9532
340,0.9527
341,0.9513
342,0.9511
343,0.951
344,0.9513
345,0.9516
346,0.9515
347,0.9511
348,0.951
349,0.9509
350,0.9509
351,0.951
352,0.9509
353,0.9511
354,0.9514
355,0.9512
356,0.9509
357,0.9515
358,0.9518
359,0.9527
360,0.9528
361,0.9527
362,0.9524
363,0.9522
364,0.9518
365,0.9517
366,0.9519
367,0.9529
368,0.9532
369,0.9525
370,0.9546
371,0.9544
372,0.9535
373,0.9528
374,0.9524
375,0.9519
376,0.9516
377,0.9516
378,0.9519
379,0.9525
380,0.9527
381,0.9522
382,0.9521
383,0.9519
384,0.9519
385,0.9519
386,0.9521
387,0.9512
388,0.9508
389,0.9509
390,0.9489
391,0.9482
392,0.9494
393,0.9508
394,0.9511
395,0.9512
396,0.9481
397,0.9482
398,0.9488
399,0.9495
400,0.9502
401,0.9518
402,0.9519
403,0.9522
404,0.9523
405,0.9526
406,0.9526
407,0.9524
408,0.9524
409,0.9526
410,0.9528
411,0.9531
412,0.9538
413,0.9543
414,0.9546
415,0.9551
416,0.9552
417,0.9558
418,0.9555
419,0.9554
420,0.9546
421,0.9542
422,0.9538
423,0.9532
424,0.9525
425,0.9518
426,0.9514
427,0.9516
428,0.9523
429,0.9526
430,0.9531
431,0.9539
432,0.9539
433,0.9536
434,0.9535
435,0.9534
436,0.9532
437,0.9532
438,0.9533
439,0.953
440,0.9526
441,0.9527
442,0.9523
443,0.9521
444,0.9516
445,0.9515
446,0.9515
447,0.9519
448,0.9524
449,0.9523
450,0.9521
451,0.9518
452,0.9517
453,0.9516
454,0.9517
455,0.9515
456,0.9515
457,0.9512
458,0.9511
459,0.9514
460,0.9506
461,0.9508
462,0.9517
463,0.9513
464,0.9511
465,0.9512
466,0.9514
467,0.9513
468,0.9509
469,0.9513
470,0.952
471,0.9522
472,0.9533
473,0.9545
474,0.955
475,0.9539
476,0.9546
477,0.9545
478,0.9543
479,0.9555
480,0.9549
481,0.9546
482,0.9541
483,0.9537
484,0.9528
485,0.9519
486,0.9514
487,0.9514
488,0.9513
489,0.9521
490,0.9518
491,0.9514
492,0.951
493,0.9511
494,0.9516
495,0.9519
496,0.9515
497,0.9501
498,0.9495
499,0.9508
500,0.9514
501,0.9517
502,0.951
503,0.9511
504,0.9512
505,0.9515
506,0.9515
507,0.9512
508,0.9509
509,0.9507
510,0.9513
511,0.9522
512,0.953
513,0.9531
514,0.9523
515,0.9519
516,0.9548
517,0.9545
518,0.9543
519,0.9536
520,0.9534
521,0.9531
522,0.9524
523,0.9524
524,0.952
525,0.9517
526,0.9521
527,0.9518
528,0.9518
529,0.9523
530,0.9524
531,0.9521
532,0.952
533,0.9522
534,0.952
535,0.9523
536,0.9526
537,0.9518
538,0.9513
539,0.9513
540,0.9511
541,0.9512
542,0.9515
543,0.9515
544,0.9481
545,0.948
546,0.948
547,0.9481
548,0.9493
549,0.9506
550,0.9522
551,0.9518
552,0.9521
553,0.9527
554,0.9531
555,0.9533
556,0.9535
557,0.9536
558,0.9533
559,0.9537
560,0.9538
561,0.9541
562,0.9544
563,0.9546
564,0.9551
565,0.9553
566,0.955
567,0.9549
568,0.9549
569,0.9553
570,0.955
571,0.9547
572,0.9542
573,0.9537
574,0.953
575,0.9528
576,0.9519
577,0.9516
578,0.9515
579,0.9526
580,0.9528
581,0.9536
582,0.9534
583,0.9532
584,0.9523
585,0.9521
586,0.9522
587,0.9521
588,0.9519
589,0.952
590,0.952
591,0.9512
592,0.9514
593,0.9514
594,0.9514
595,0.9515
596,0.9513
597,0.9512
598,0.9518
599,0.9522
600,0.9527
601,0.9523
602,0.9522
603,0.9521
604,0.9517
605,0.9513
606,0.9506
607,0.9505
608,0.9506
609,0.9505
610,0.9505
611,0.9508
612,0.9505
613,0.9513
614,0.9516
615,0.9522
616,0.9522
617,0.9516
618,0.9511
619,0.9509
620,0.9516
621,0.9521
622,0.9523
623,0.9528
624,0.9532
625,0.9534
626,0.9538
627,0.954
628,0.9543
629,0.9544
630,0.9542
631,0.9544
632,0.9545
633,0.9536
634,0.9533
635,0.9526
636,0.9515
637,0.9513
638,0.9513
639,0.9506
640,0.9506
